"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"A10","A11","A12","B4","B5","B6","B5","B6","B4","B10","B11","B12","B8","B9","B7"
"H7","H8","H9","F2","F3","F1","B7","B8","B9","F5","F6","F4","C1","C2","C3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"211","212","213","214","215","216","217","218","219","220","221","222","223","224","225"
"B1","B2","B3","B1","B2","B3","B1","B2","B3","B1","B2","B3","B1","B2","B3"
"C4","C5","C6","B11","B12","B10","C11","C12","C10","E10","E11","E12","D2","D3","D1"
"F8","F9","F7","C7","C8","C9","E7","E8","E9","G11","G12","G10","F1","F2","F3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"226","227","228","229","230","231","232","233","234","235","236","237","238","239","240"
"B1","B2","B3","B1","B2","B3","B1","B2","B3","A2","A3","A1","B1","B2","B3"
"D5","D6","D4","D8","D9","D7","D11","D12","D10","B1","B2","B3","E2","E3","E1"
"F7","F8","F9","G1","G2","G3","G7","G8","G9","G10","G11","G12","H1","H2","H3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"241","242","243","244","245","246","247","248","249","250","251","252","253","254","255"
"A5","A6","A4","B1","B2","B3","B4","B5","B6","B4","B5","B6","B4","B5","B6"
"B1","B2","B3","E5","E6","E4","B11","B12","B10","C7","C8","C9","C2","C3","C1"
"H4","H5","H6","H7","H8","H9","C4","C5","C6","F11","F12","F10","C10","C11","C12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"256","257","258","259","260","261","262","263","264","265","266","267","268","269","270"
"B4","B5","B6","B4","B5","B6","B4","B5","B6","B4","B5","B6","B4","B5","B6"
"D1","D2","D3","C5","C6","C4","D7","D8","D9","C8","C9","C7","C11","C12","C10"
"G2","G3","G1","D4","D5","D6","G5","G6","G4","D10","D11","D12","E4","E5","E6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"271","272","273","274","275","276","277","278","279","280","281","282","283","284","285"
"B4","B5","B6","B4","B5","B6","B4","B5","B6","A2","A3","A1","B4","B5","B6"
"D5","D6","D4","D8","D9","D7","D11","D12","D10","B4","B5","B6","E2","E3","E1"
"F4","F5","F6","F10","F11","F12","G4","G5","G6","G7","G8","G9","G10","G11","G12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"286","287","288","289","290","291","292","293","294","295","296","297","298","299","300"
"A5","A6","A4","B4","B5","B6","A8","A9","A7","B7","B8","B9","B7","B8","B9"
"B4","B5","B6","E5","E6","E4","B4","B5","B6","B10","B11","B12","B11","B12","B10"
"H1","H2","H3","H4","H5","H6","H7","H8","H9","F8","F9","F7","C1","C2","C3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"301","302","303","304","305","306","307","308","309","310","311","312","313","314","315"
"B7","B8","B9","B7","B8","B9","B7","B8","B9","B7","B8","B9","B7","B8","B9"
"C4","C5","C6","C2","C3","C1","C5","C6","C4","C11","C12","C10","F4","F5","F6"
"F11","F12","F10","C7","C8","C9","D1","D2","D3","E1","E2","E3","H5","H6","H4"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"316","317","318","319","320","321","322","323","324","325","326","327","328","329","330"
"B7","B8","B9","B7","B8","B9","B7","B8","B9","A2","A3","A1","B7","B8","B9"
"D8","D9","D7","F10","F11","F12","D11","D12","D10","B7","B8","B9","E2","E3","E1"
"F7","F8","F9","H8","H9","H7","G1","G2","G3","G4","G5","G6","G7","G8","G9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"331","332","333","334","335","336","337","338","339","340","341","342","343","344","345"
"A5","A6","A4","B7","B8","B9","A8","A9","A7","B7","B8","B9","B10","B11","B12"
"B7","B8","B9","E5","E6","E4","B7","B8","B9","E8","E9","E7","C1","C2","C3"
"G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","F11","F12","F10"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"346","347","348","349","350","351","352","353","354","355","356","357","358","359","360"
"B10","B11","B12","B10","B11","B12","B10","B11","B12","B10","B11","B12","B10","B11","B12"
"C7","C8","C9","D1","D2","D3","C8","C9","C7","D5","D6","D4","D8","D9","D7"
"G2","G3","G1","G5","G6","G4","D4","D5","D6","E10","E11","E12","F4","F5","F6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"361","362","363","364","365","366","367","368","369","370","371","372","373","374","375"
"B10","B11","B12","A2","A3","A1","B10","B11","B12","A5","A6","A4","B10","B11","B12"
"D11","D12","D10","B10","B11","B12","E2","E3","E1","B10","B11","B12","E5","E6","E4"
"F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"376","377","378","379","380","381","382","383","384","385","386","387","388","389","390"
"A8","A9","A7","B10","B11","B12","A11","A12","A10","C1","C2","C3","C1","C2","C3"
"B10","B11","B12","E8","E9","E7","B10","B11","B12","C4","C5","C6","C10","C11","C12"
"H1","H2","H3","H4","H5","H6","H7","H8","H9","G2","G3","G1","G5","G6","G4"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"391","392","393","394","395","396","397","398","399","400","401","402","403","404","405"
"C1","C2","C3","C1","C2","C3","C1","C2","C3","C1","C2","C3","C1","C2","C3"
"C8","C9","C7","D2","D3","D1","D5","D6","D4","D8","D9","D7","D11","D12","D10"
"D1","D2","D3","E1","E2","E3","E7","E8","E9","F1","F2","F3","F7","F8","F9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"406","407","408","409","410","411","412","413","414","415","416","417","418","419","420"
"A2","A3","A1","C1","C2","C3","A5","A6","A4","C1","C2","C3","A8","A9","A7"
"C1","C2","C3","E2","E3","E1","C1","C2","C3","E5","E6","E4","C1","C2","C3"
"F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"421","422","423","424","425","426","427","428","429","430","431","432","433","434","435"
"C1","C2","C3","A11","A12","A10","C1","C2","C3","C4","C5","C6","C4","C5","C6"
"E8","E9","E7","C1","C2","C3","E11","E12","E10","C7","C8","C9","C8","C9","C7"
"H1","H2","H3","H4","H5","H6","H7","H8","H9","G5","G6","G4","C10","C11","C12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"436","437","438","439","440","441","442","443","444","445","446","447","448","449","450"
"C4","C5","C6","C4","C5","C6","C4","C5","C6","C4","C5","C6","C4","C5","C6"
"D7","D8","D9","D2","D3","D1","E1","E2","E3","D5","D6","D4","D11","D12","D10"
"G11","G12","G10","D10","D11","D12","H2","H3","H1","E4","E5","E6","F4","F5","F6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"451","452","453","454","455","456","457","458","459","460","461","462","463","464","465"
"A2","A3","A1","A5","A6","A4","C4","C5","C6","A8","A9","A7","C4","C5","C6"
"C4","C5","C6","C4","C5","C6","E5","E6","E4","C4","C5","C6","E8","E9","E7"
"F7","F8","F9","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"466","467","468","469","470","471","472","473","474","475","476","477","478","479","480"
"A11","A12","A10","C4","C5","C6","B2","B3","B1","C7","C8","C9","C7","C8","C9"
"C4","C5","C6","E11","E12","E10","C4","C5","C6","C10","C11","C12","C11","C12","C10"
"H1","H2","H3","H4","H5","H6","H7","H8","H9","G8","G9","G7","D1","D2","D3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"481","482","483","484","485","486","487","488","489","490","491","492","493","494","495"
"C7","C8","C9","C7","C8","C9","C7","C8","C9","A2","A3","A1","A5","A6","A4"
"D2","D3","D1","D5","D6","D4","E4","E5","E6","C7","C8","C9","C7","C8","C9"
"D7","D8","D9","E1","E2","E3","H5","H6","H4","F4","F5","F6","F10","F11","F12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"496","497","498","499","500","501","502","503","504","505","506","507","508","509","510"
"A8","A9","A7","C7","C8","C9","A11","A12","A10","C7","C8","C9","B2","B3","B1"
"C7","C8","C9","E8","E9","E7","C7","C8","C9","E11","E12","E10","C7","C8","C9"
"G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"511","512","513","514","515","516","517","518","519","520","521","522","523","524","525"
"C7","C8","C9","C10","C11","C12","C10","C11","C12","C10","C11","C12","C10","C11","C12"
"F2","F3","F1","D1","D2","D3","D2","D3","D1","D7","D8","D9","D5","D6","D4"
"H7","H8","H9","G11","G12","G10","D4","D5","D6","H2","H3","H1","D10","D11","D12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"526","527","528","529","530","531","532","533","534","535","536","537","538","539","540"
"C10","C11","C12","C10","C11","C12","A2","A3","A1","A5","A6","A4","A8","A9","A7"
"D8","D9","D7","E7","E8","E9","C10","C11","C12","C10","C11","C12","C10","C11","C12"
"E4","E5","E6","H8","H9","H7","F1","F2","F3","F7","F8","F9","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"541","542","543","544","545","546","547","548","549","550","551","552","553","554","555"
"A11","A12","A10","C10","C11","C12","B2","B3","B1","C10","C11","C12","B5","B6","B4"
"C10","C11","C12","E11","E12","E10","C10","C11","C12","F2","F3","F1","C10","C11","C12"
"G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"556","557","558","559","560","561","562","563","564","565","566","567","568","569","570"
"D1","D2","D3","D1","D2","D3","D1","D2","D3","D1","D2","D3","D1","D2","D3"
"D5","D6","D4","D10","D11","D12","D8","D9","D7","E4","E5","E6","D11","D12","D10"
"D7","D8","D9","H5","H6","H4","E1","E2","E3","H8","H9","H7","E7","E8","E9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"571","572","573","574","575","576","577","578","579","580","581","582","583","584","585"
"A2","A3","A1","A5","A6","A4","A8","A9","A7","A11","A12","A10","B2","B3","B1"
"D1","D2","D3","D1","D2","D3","D1","D2","D3","D1","D2","D3","D1","D2","D3"
"E10","E11","E12","F4","F5","F6","F10","F11","F12","G4","G5","G6","G10","G11","G12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"586","587","588","589","590","591","592","593","594","595","596","597","598","599","600"
"D1","D2","D3","B5","B6","B4","D4","D5","D6","D4","D5","D6","D4","D5","D6"
"F2","F3","F1","D1","D2","D3","D8","D9","D7","E1","E2","E3","D11","D12","D10"
"H1","H2","H3","H4","H5","H6","D10","D11","D12","H8","H9","H7","E4","E5","E6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"601","602","603","604","605","606","607","608","609","610","611","612","613","614","615"
"A2","A3","A1","D4","D5","D6","A5","A6","A4","D4","D5","D6","A8","A9","A7"
"D4","D5","D6","E2","E3","E1","D4","D5","D6","E5","E6","E4","D4","D5","D6"
"E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"616","617","618","619","620","621","622","623","624","625","626","627","628","629","630"
"A11","A12","A10","B2","B3","B1","B5","B6","B4","D4","D5","D6","B8","B9","B7"
"D4","D5","D6","D4","D5","D6","D4","D5","D6","F5","F6","F4","D4","D5","D6"
"G1","G2","G3","G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"631","632","633","634","635","636","637","638","639","640","641","642","643","644","645"
"D7","D8","D9","D7","D8","D9","A2","A3","A1","D7","D8","D9","A5","A6","A4"
"D10","D11","D12","D11","D12","D10","D7","D8","D9","E2","E3","E1","D7","D8","D9"
"H8","H9","H7","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"646","647","648","649","650","651","652","653","654","655","656","657","658","659","660"
"D7","D8","D9","A8","A9","A7","A11","A12","A10","B2","B3","B1","D7","D8","D9"
"E5","E6","E4","D7","D8","D9","D7","D8","D9","D7","D8","D9","F2","F3","F1"
"F1","F2","F3","F4","F5","F6","F10","F11","F12","G4","G5","G6","G7","G8","G9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"661","662","663","664","665","666","667","668","669","670","671","672","673","674","675"
"B5","B6","B4","B8","B9","B7","A2","A3","A1","D10","D11","D12","A5","A6","A4"
"D7","D8","D9","D7","D8","D9","D10","D11","D12","E2","E3","E1","D10","D11","D12"
"G10","G11","G12","H4","H5","H6","E1","E2","E3","E4","E5","E6","E7","E8","E9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"676","677","678","679","680","681","682","683","684","685","686","687","688","689","690"
"D10","D11","D12","A8","A9","A7","D10","D11","D12","A11","A12","A10","B2","B3","B1"
"E5","E6","E4","D10","D11","D12","E8","E9","E7","D10","D11","D12","D10","D11","D12"
"E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"691","692","693","694","695","696","697","698","699","700","701","702","703","704","705"
"B5","B6","B4","B8","B9","B7","B11","B12","B10","A5","A6","A4","A8","A9","A7"
"D10","D11","D12","D10","D11","D12","D10","D11","D12","E1","E2","E3","E1","E2","E3"
"G7","G8","G9","H1","H2","H3","H7","H8","H9","E4","E5","E6","E10","E11","E12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"706","707","708","709","710","711","712","713","714","715","716","717","718","719","720"
"E1","E2","E3","A11","A12","A10","E1","E2","E3","B2","B3","B1","E1","E2","E3"
"E8","E9","E7","E1","E2","E3","E11","E12","E10","E1","E2","E3","F2","F3","F1"
"F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"721","722","723","724","725","726","727","728","729","730","731","732","733","734","735"
"B5","B6","B4","B8","B9","B7","E1","E2","E3","B11","B12","B10","A8","A9","A7"
"E1","E2","E3","E1","E2","E3","F8","F9","F7","E1","E2","E3","E4","E5","E6"
"G4","G5","G6","G10","G11","G12","H1","H2","H3","H4","H5","H6","E7","E8","E9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"736","737","738","739","740","741","742","743","744","745","746","747","748","749","750"
"E4","E5","E6","A11","A12","A10","E4","E5","E6","B2","B3","B1","B5","B6","B4"
"E8","E9","E7","E4","E5","E6","E11","E12","E10","E4","E5","E6","E4","E5","E6"
"E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"751","752","753","754","755","756","757","758","759","760","761","762","763","764","765"
"B8","B9","B7","B11","B12","B10","E4","E5","E6","C2","C3","C1","A11","A12","A10"
"E4","E5","E6","E4","E5","E6","F11","F12","F10","E4","E5","E6","E7","E8","E9"
"G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","E10","E11","E12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"766","767","768","769","770","771","772","773","774","775","776","777","778","779","780"
"E7","E8","E9","B2","B3","B1","E7","E8","E9","B5","B6","B4","B8","B9","B7"
"E11","E12","E10","E7","E8","E9","F2","F3","F1","E7","E8","E9","E7","E8","E9"
"F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G4","G5","G6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"781","782","783","784","785","786","787","788","789","790","791","792","793","794","795"
"E7","E8","E9","B11","B12","B10","E7","E8","E9","C2","C3","C1","E7","E8","E9"
"F8","F9","F7","E7","E8","E9","F11","F12","F10","E7","E8","E9","G2","G3","G1"
"G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"796","797","798","799","800","801","802","803","804","805","806","807","808","809","810"
"B2","B3","B1","E10","E11","E12","B5","B6","B4","E10","E11","E12","B8","B9","B7"
"E10","E11","E12","F2","F3","F1","E10","E11","E12","F5","F6","F4","E10","E11","E12"
"F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"811","812","813","814","815","816","817","818","819","820","821","822","823","824","825"
"E10","E11","E12","B11","B12","B10","E10","E11","E12","C2","C3","C1","C5","C6","C4"
"F8","F9","F7","E10","E11","E12","F11","F12","F10","E10","E11","E12","E10","E11","E12"
"G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H7","H8","H9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"826","827","828","829","830","831","832","833","834","835","836","837","838","839","840"
"B5","B6","B4","F1","F2","F3","B8","B9","B7","F1","F2","F3","B11","B12","B10"
"F1","F2","F3","F5","F6","F4","F1","F2","F3","F8","F9","F7","F1","F2","F3"
"F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"841","842","843","844","845","846","847","848","849","850","851","852","853","854","855"
"C2","C3","C1","C5","C6","C4","F1","F2","F3","B8","B9","B7","F4","F5","F6"
"F1","F2","F3","F1","F2","F3","G5","G6","G4","F4","F5","F6","F8","F9","F7"
"G10","G11","G12","H4","H5","H6","H7","H8","H9","F7","F8","F9","F10","F11","F12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"856","857","858","859","860","861","862","863","864","865","866","867","868","869","870"
"B11","B12","B10","F4","F5","F6","C2","C3","C1","F4","F5","F6","C5","C6","C4"
"F4","F5","F6","F11","F12","F10","F4","F5","F6","G2","G3","G1","F4","F5","F6"
"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"871","872","873","874","875","876","877","878","879","880","881","882","883","884","885"
"F4","F5","F6","C8","C9","C7","B11","B12","B10","F7","F8","F9","C2","C3","C1"
"G5","G6","G4","F4","F5","F6","F7","F8","F9","F11","F12","F10","F7","F8","F9"
"H4","H5","H6","H7","H8","H9","F10","F11","F12","G1","G2","G3","G4","G5","G6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"886","887","888","889","890","891","892","893","894","895","896","897","898","899","900"
"C5","C6","C4","C8","C9","C7","F7","F8","F9","C2","C3","C1","F10","F11","F12"
"F7","F8","F9","F7","F8","F9","G8","G9","G7","F10","F11","F12","G2","G3","G1"
"G10","G11","G12","H4","H5","H6","H7","H8","H9","G1","G2","G3","G4","G5","G6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"901","902","903","904","905","906","907","908","909","910","911","912","913","914","915"
"C5","C6","C4","C8","C9","C7","C11","C12","C10","C5","C6","C4","G1","G2","G3"
"F10","F11","F12","F10","F11","F12","F10","F11","F12","G1","G2","G3","G5","G6","G4"
"G7","G8","G9","H1","H2","H3","H7","H8","H9","G4","G5","G6","G7","G8","G9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"916","917","918","919","920","921","922","923","924","925","926","927","928","929","930"
"C8","C9","C7","G1","G2","G3","C11","C12","C10","G1","G2","G3","C8","C9","C7"
"G1","G2","G3","G8","G9","G7","G1","G2","G3","G11","G12","G10","G4","G5","G6"
"G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","G7","G8","G9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"931","932","933","934","935","936","937","938","939","940","941","942","943","944","945"
"G4","G5","G6","C11","C12","C10","D2","D3","D1","C11","C12","C10","G7","G8","G9"
"G8","G9","G7","G4","G5","G6","G4","G5","G6","G7","G8","G9","G11","G12","G10"
"G10","G11","G12","H1","H2","H3","H7","H8","H9","G10","G11","G12","H1","H2","H3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"946","947","948","949","950","951","952","953","954","955","956","957","958","959","960"
"D2","D3","D1","D2","D3","D1","G10","G11","G12","D5","D6","D4","D5","D6","D4"
"G7","G8","G9","G10","G11","G12","H2","H3","H1","G10","G11","G12","H1","H2","H3"
"H4","H5","H6","H1","H2","H3","H4","H5","H6","H7","H8","H9","H4","H5","H6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"961","","","","","","","","","","","","","",""
"D8","","","","","","","","","","","","","",""
"H4","","","","","","","","","","","","","",""
"H7","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
